src,dst
C:\Users\willi\Downloads\0i96pqbcvsf0jmjcvt48z_720p.mp4,C:\Users\willi\Downloads\Vídeo\0i96pqbcvsf0jmjcvt48z_720p.mp4
C:\Users\willi\Downloads\0i9n08fwetameii04jy74_720p.mp4,C:\Users\willi\Downloads\Vídeo\0i9n08fwetameii04jy74_720p.mp4
C:\Users\willi\Downloads\0i9srjh8zxtqflzwctbww_720p.mp4,C:\Users\willi\Downloads\Vídeo\0i9srjh8zxtqflzwctbww_720p.mp4
C:\Users\willi\Downloads\1 (1).mp4,C:\Users\willi\Downloads\Vídeo\1 (1).mp4
C:\Users\willi\Downloads\1 (13).mp4,C:\Users\willi\Downloads\Vídeo\1 (13).mp4
C:\Users\willi\Downloads\1 (4).mp4,C:\Users\willi\Downloads\Vídeo\1 (4).mp4
C:\Users\willi\Downloads\1000035005.mp4,C:\Users\willi\Downloads\Vídeo\1000035005.mp4
C:\Users\willi\Downloads\156560_511132625612323_9778416.jpg,C:\Users\willi\Downloads\Imagens\156560_511132625612323_9778416.jpg
C:\Users\willi\Downloads\16.jpeg,C:\Users\willi\Downloads\Imagens\16.jpeg
C:\Users\willi\Downloads\17.jpeg,C:\Users\willi\Downloads\Imagens\17.jpeg
C:\Users\willi\Downloads\1b092b6f-6581-4b49-bd65-78c23adab3e3.mp4,C:\Users\willi\Downloads\Vídeo\1b092b6f-6581-4b49-bd65-78c23adab3e3.mp4
C:\Users\willi\Downloads\2024-02-10-0hmoohdd0pg1io336cuuw_source.mp4,C:\Users\willi\Downloads\Vídeo\2024-02-10-0hmoohdd0pg1io336cuuw_source.mp4
C:\Users\willi\Downloads\20251211_0944_Versão Realista de Personagem_remix_01kc6pz32efkfbctmym6vdyk4s.png,C:\Users\willi\Downloads\Imagens\20251211_0944_Versão Realista de Personagem_remix_01kc6pz32efkfbctmym6vdyk4s.png
C:\Users\willi\Downloads\20251211_0944_Versão Realista de Personagem_remix_01kc6pz32fedc9yby2kq34166v.png,C:\Users\willi\Downloads\Imagens\20251211_0944_Versão Realista de Personagem_remix_01kc6pz32fedc9yby2kq34166v.png
C:\Users\willi\Downloads\20251211_1422_Personagem em Estilo Realista_remix_01kc76td70ekrrxn68drpxxjnq.png,C:\Users\willi\Downloads\Imagens\20251211_1422_Personagem em Estilo Realista_remix_01kc76td70ekrrxn68drpxxjnq.png
C:\Users\willi\Downloads\20260103_1513_Personagem Realista Retratada_remix_01ke2gyb8me2hr2g4v0dv9vg99.png,C:\Users\willi\Downloads\Imagens\20260103_1513_Personagem Realista Retratada_remix_01ke2gyb8me2hr2g4v0dv9vg99.png
C:\Users\willi\Downloads\20260116_2224_Image Generation_remix_01kf4rtekvenksezhkzerx4e3b.png,C:\Users\willi\Downloads\Imagens\20260116_2224_Image Generation_remix_01kf4rtekvenksezhkzerx4e3b.png
C:\Users\willi\Downloads\28.mp4,C:\Users\willi\Downloads\Vídeo\28.mp4
C:\Users\willi\Downloads\326 401 The Best of Both Worlds_60.0_fixed_fps_Model[live_static_regular].mp4,C:\Users\willi\Downloads\Vídeo\326 401 The Best of Both Worlds_60.0_fixed_fps_Model[live_static_regular].mp4
C:\Users\willi\Downloads\3875a60f-0bbd-4d38-b43b-89a16e22aa06.jpg,C:\Users\willi\Downloads\Imagens\3875a60f-0bbd-4d38-b43b-89a16e22aa06.jpg
C:\Users\willi\Downloads\639013427082327505--Brucbb_679c43e4-1ff8-41f1-8708-118eb88b5ff0.mp4,C:\Users\willi\Downloads\Vídeo\639013427082327505--Brucbb_679c43e4-1ff8-41f1-8708-118eb88b5ff0.mp4
C:\Users\willi\Downloads\837325-video.mp4,C:\Users\willi\Downloads\Vídeo\837325-video.mp4
C:\Users\willi\Downloads\84bb6e62-6df9-41d5-9b7a-4fdad7a253c5.jpg,C:\Users\willi\Downloads\Imagens\84bb6e62-6df9-41d5-9b7a-4fdad7a253c5.jpg
C:\Users\willi\Downloads\86Box-Windows-64-b7777.zip,C:\Users\willi\Downloads\Arquivos compactados\86Box-Windows-64-b7777.zip
C:\Users\willi\Downloads\A (11)-lB70tqbW.mp4,C:\Users\willi\Downloads\Vídeo\A (11)-lB70tqbW.mp4
C:\Users\willi\Downloads\A (12)-xAluKNSn.mp4,C:\Users\willi\Downloads\Vídeo\A (12)-xAluKNSn.mp4
C:\Users\willi\Downloads\A (13)-5oPDemgP.mp4,C:\Users\willi\Downloads\Vídeo\A (13)-5oPDemgP.mp4
C:\Users\willi\Downloads\Adivinha quem Ã© - VÃ_deos e Fotos PornÃ´ - EroMe.mp4,C:\Users\willi\Downloads\Vídeo\Adivinha quem Ã© - VÃ_deos e Fotos PornÃ´ - EroMe.mp4
C:\Users\willi\Downloads\ADN-735 I was embraced by my daughters boyfriend. The story of h.mp4,C:\Users\willi\Downloads\Vídeo\ADN-735 I was embraced by my daughters boyfriend. The story of h.mp4
C:\Users\willi\Downloads\ALDN-448 Tabiji A mother and plays journey together Kaho Tamaki.mp4,C:\Users\willi\Downloads\Vídeo\ALDN-448 Tabiji A mother and plays journey together Kaho Tamaki.mp4
"C:\Users\willi\Downloads\Algebra 1 Groups, Rings, Fields and Arithmetic.pdf","C:\Users\willi\Downloads\Documentos\Algebra 1 Groups, Rings, Fields and Arithmetic.pdf"
